"key","parentKey","type","name","code"
1,,"Ubicaciones_UbicacionStandardRoot","-",""
2,,"Ubicaciones_UbicacionStandardRoot","Amazonas","010000"
3,2,"Ubicaciones_UbicacionStandard","Chachapoyas","010100"
4,2,"Ubicaciones_UbicacionStandard","Bagua","010200"
5,2,"Ubicaciones_UbicacionStandard","Bongara","010300"
6,2,"Ubicaciones_UbicacionStandard","Condorcanqui","010400"
7,2,"Ubicaciones_UbicacionStandard","Luya","010500"
8,2,"Ubicaciones_UbicacionStandard","Rodríguez de Mendoza","010600"
9,2,"Ubicaciones_UbicacionStandard","Utcubamba","010700"
10,3,"Ubicaciones_UbicacionStandard","Chachapoyas","010101"
11,3,"Ubicaciones_UbicacionStandard","Asunción","010102"
12,3,"Ubicaciones_UbicacionStandard","Balsas","010103"
13,3,"Ubicaciones_UbicacionStandard","Cheto","010104"
14,3,"Ubicaciones_UbicacionStandard","Chiliquin","010105"
15,3,"Ubicaciones_UbicacionStandard","Chuquilibamba","010106"
16,3,"Ubicaciones_UbicacionStandard","Granada","010107"
17,3,"Ubicaciones_UbicacionStandard","Huancas","010108"
18,3,"Ubicaciones_UbicacionStandard","La Jalca","010109"
19,3,"Ubicaciones_UbicacionStandard","Leimebamba","010110"
20,3,"Ubicaciones_UbicacionStandard","Levanto","010111"
21,3,"Ubicaciones_UbicacionStandard","Magdalena","010112"
22,3,"Ubicaciones_UbicacionStandard","Mariscal Castilla","010113"
23,3,"Ubicaciones_UbicacionStandard","Molinopampa","010114"
24,3,"Ubicaciones_UbicacionStandard","Montevideo","010115"
25,3,"Ubicaciones_UbicacionStandard","Olleros","010116"
26,3,"Ubicaciones_UbicacionStandard","Quinjalca","010117"
27,3,"Ubicaciones_UbicacionStandard","San Francisco de Daguas","010118"
28,3,"Ubicaciones_UbicacionStandard","San Isidro de Maino","010119"
29,3,"Ubicaciones_UbicacionStandard","Soloco","010120"
30,3,"Ubicaciones_UbicacionStandard","Sonche","010121"
31,4,"Ubicaciones_UbicacionStandard","Bagua","010201"
32,4,"Ubicaciones_UbicacionStandard","Aramango","010202"
33,4,"Ubicaciones_UbicacionStandard","Copallín","010203"
34,4,"Ubicaciones_UbicacionStandard","El Parco","010204"
35,4,"Ubicaciones_UbicacionStandard","Imaza","010205"
36,4,"Ubicaciones_UbicacionStandard","La Peca","010206"
37,5,"Ubicaciones_UbicacionStandard","Jumbilla","010301"
38,5,"Ubicaciones_UbicacionStandard","Chisquilla","010302"
39,5,"Ubicaciones_UbicacionStandard","Churuja","010303"
40,5,"Ubicaciones_UbicacionStandard","Corocha","010304"
41,5,"Ubicaciones_UbicacionStandard","Cuispes","010305"
42,5,"Ubicaciones_UbicacionStandard","Florida","010306"
43,5,"Ubicaciones_UbicacionStandard","Jazan","010307"
44,5,"Ubicaciones_UbicacionStandard","Recta","010308"
45,5,"Ubicaciones_UbicacionStandard","San Carlos","010309"
46,5,"Ubicaciones_UbicacionStandard","Shipasbamba","010310"
47,5,"Ubicaciones_UbicacionStandard","Valera","010311"
48,5,"Ubicaciones_UbicacionStandard","Yambrasbamba","010312"
49,6,"Ubicaciones_UbicacionStandard","Nieva","010401"
